id$Name$Adress$Horari$Telèfon$Email$Web
1$Associació Catalana per la Pau$Via Laietana, 16, 1er 08003 Barcelona$10 a 14 hores i 16 a 19 hores, de dilluns a divendres$933 188 444$info@acpau.org$http://www.acpau.org
2$Associació d'Amistat amb el Poble de Guatemala$Carrer de Vistalegre, 15 (Casa de la Solidaritat) 08001 Barcelona$De dilluns a divendres de 18 a 21 h$934 434 392$aapguatemala@gmail.com$http://www.aapguatemala.org/
3$Casal dels Infants - Acció Social als Barris$Carrer de la Junta de Comerç, 16 08001 Barcelona$De dilluns a divendres de 9 h a 14 h i de 15 h a 20 h.$933 170 013$info@casaldelsinfants.org$http://www.casaldelsinfants.org
5$Associació Catalunya-Líban - ACL$Via Laietana, 16, 1er pis 08003 Barcelona$De 10 h a 14 h$933 188 444$ambelliban@gmail.com$https://www.ambelliban.cat/
6$CooperAcció$C/ Trafalgar 48 08010 Barcelona$9.30h a 15.30h$936 674 095$info@cooperaccio.org$http://www.cooperaccio.org/ca/
7$Pallassos Sense Fronteres$Plaça de Margarida Xirgu, 1 08004 Barcelona$10:00-14:00 i de 15:00 a 17:30$933 248 420$psf@clowns.org$http://www.clowns.org/
8$Servei Civil Internacional de Catalunya (SCI Catalunya)$Carrer del Carme, 95, Baixos 2a 08001 Barcelona$De dilluns a divendres de 10 a 14h i dilluns i dimecres de 15 a 19h.$934 417 079$info@scicat.org$scicat.org
9$Associació Delegació d'Estudiants d'Arquitectura de Barcelona (DEd'AB)$Avinguda Diagonal, 649, Edifici A, 3r pis 08028 Barcelona$11 - 17 h$934 017 976$dedab.etsab@upc.edu$No web found
10$Consell de la Casa de l'Estudiant$Carrer de Jordi Girona, 1-3, Edifici Omega - Campus Nord de la UPC 08034 Barcelona$Sense horari fix$934 137 813$consell.estudiantat@upc.edu$https://cde.upc.edu/
11$Agrupament Escolta Champagnat$Carrer de València, 370 08009 Barcelona$Dissabtes 10:00 - 13:30h$93 458 29 04$info@aech.cat$http://www.aech.cat/
12$AE CHARLES DE FOUCAULD$Pl. Santa Engràcia, 1 08016 Barcelona$http://www.aeigcharles.cat/$No phone found$No email found$No web found
13$AE El Pi de Les Corts$Carrer de Dolors Masferrer, 33-35 08028 Barcelona$Dissabtes de 16:30 a 19:00$932 916 462$aepidelescorts@escoltes.org$No web found
14$AE Jaume I$Carrer de Sant Adrià, 20 08030 Barcelona$Dissabtes 17-19h$649 535 754$agrupament.escolta.jaume1@gmail.com$No web found
15$AE Jaume I del Coll$Carrer de Lluís Bonifaç, 2 08023 Barcelona$Dissabtes de 16.30 a 19 h$628 675 138$aejaumeidelcoll@agrupaments.escoltes.org$https://aejaumeidelcoll.wordpress.com
